product_id,name,brand_id,category_id,description
1,Trendy Jeans 1,6,5,High-quality Shirts for everyday wear.
2,Trendy Dresses 2,7,12,High-quality Jackets for everyday wear.
3,Trendy Shoes 3,3,18,High-quality Shirts for everyday wear.
4,Elegant Jackets 4,5,9,High-quality Jackets for everyday wear.
5,Trendy Jackets 5,5,8,High-quality Dresses for everyday wear.
6,Elegant T-Shirts 6,3,6,High-quality Jackets for everyday wear.
7,Stylish Shoes 7,6,13,High-quality Shirts for everyday wear.
8,Elegant Shoes 8,6,2,High-quality Shirts for everyday wear.
9,Cool Jackets 9,8,6,High-quality Dresses for everyday wear.
10,Cool T-Shirts 10,8,17,High-quality Dresses for everyday wear.
11,Stylish Shirts 11,3,18,High-quality T-Shirts for everyday wear.
12,Trendy T-Shirts 12,2,8,High-quality Jeans for everyday wear.
13,Elegant Shirts 13,4,3,High-quality Dresses for everyday wear.
14,Cool Jeans 14,7,3,High-quality Shirts for everyday wear.
15,Cool Jeans 15,8,6,High-quality Shoes for everyday wear.
16,Classic T-Shirts 16,1,3,High-quality Shoes for everyday wear.
17,Elegant Dresses 17,2,16,High-quality Shoes for everyday wear.
18,Classic Jeans 18,5,1,High-quality Shirts for everyday wear.
19,Elegant Jackets 19,1,14,High-quality Shirts for everyday wear.
20,Elegant Shirts 20,1,13,High-quality Shoes for everyday wear.
21,Classic Dresses 21,4,14,High-quality T-Shirts for everyday wear.
22,Stylish Dresses 22,5,11,High-quality Shoes for everyday wear.
23,Elegant Dresses 23,6,14,High-quality Shoes for everyday wear.
24,Cool Shirts 24,1,18,High-quality Dresses for everyday wear.
25,Stylish Jeans 25,1,2,High-quality Shoes for everyday wear.
26,Trendy Shirts 26,1,14,High-quality Jeans for everyday wear.
27,Elegant T-Shirts 27,3,3,High-quality Shirts for everyday wear.
28,Elegant T-Shirts 28,7,9,High-quality T-Shirts for everyday wear.
29,Stylish Jackets 29,6,4,High-quality Jackets for everyday wear.
30,Stylish T-Shirts 30,7,17,High-quality Jeans for everyday wear.
31,Stylish Shoes 31,4,4,High-quality Shirts for everyday wear.
32,Elegant Shoes 32,2,5,High-quality Jackets for everyday wear.
33,Trendy Shoes 33,6,3,High-quality Jeans for everyday wear.
34,Classic Shirts 34,8,17,High-quality Shirts for everyday wear.
35,Classic T-Shirts 35,3,8,High-quality Dresses for everyday wear.
36,Classic T-Shirts 36,8,11,High-quality Jeans for everyday wear.
37,Trendy Shirts 37,4,7,High-quality Shirts for everyday wear.
38,Stylish Shirts 38,1,10,High-quality Jackets for everyday wear.
39,Trendy Jackets 39,5,13,High-quality Jackets for everyday wear.
40,Stylish Dresses 40,6,2,High-quality Jackets for everyday wear.
41,Elegant Shoes 41,2,7,High-quality Dresses for everyday wear.
42,Cool T-Shirts 42,8,6,High-quality Jackets for everyday wear.
43,Elegant Jeans 43,7,6,High-quality Shirts for everyday wear.
44,Stylish Shoes 44,3,16,High-quality Dresses for everyday wear.
45,Elegant Jackets 45,1,12,High-quality Jackets for everyday wear.
46,Cool Dresses 46,3,18,High-quality T-Shirts for everyday wear.
47,Classic Jeans 47,3,14,High-quality Shoes for everyday wear.
48,Classic Jeans 48,2,1,High-quality Jeans for everyday wear.
49,Stylish Jackets 49,2,13,High-quality Shirts for everyday wear.
50,Stylish Shoes 50,7,4,High-quality Shoes for everyday wear.
51,Trendy Jackets 51,4,4,High-quality Shirts for everyday wear.
52,Elegant Jeans 52,3,5,High-quality Jeans for everyday wear.
53,Elegant T-Shirts 53,4,3,High-quality Dresses for everyday wear.
